seat,ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,mp_firstname,mp_surname,mp_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,con_share,lab_share,ld_share,brexit_share,green_share,snp_share,pc_share,dup_share,sf_share,sdlp_share,uup_share,alliance_share,other_share,swing_needed,new_con_share,new_lab_share,new_ld_share,new_brexit_share,new_green_share,new_snp_share,new_pc_share,new_dup_share,new_sf_share,new_sdlp_share,new_uup_share,new_alliance_share,new_other_share,new_first_party,changed,new_swing_needed
0,W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,2019-12-13 02:30:00,Stephen,Kinnock,Male,Lab hold,LAB,Con,50750,31598,82,10490,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,0,0.20627887841002596,0.5382619153110957,0.03392619786062409,0.09836065573770492,0.014241407684030635,0.0,0.08579656940312679,0.0,0.0,0.0,0.0,0.0,0.023134375593391987,0.33198303690106973,0.21774100564966115,0.5592551153563271,0.0,0.0990137222733398,0.014335963649614914,0.0,0.08636621656467948,0.0,0.0,0.0,0.0,0.0,0.023287976506374364,LAB,FALSE,0.34151410970666596
1,W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,2019-12-13 03:09:00,Robin,Millar,Male,Con hold,CON,Lab,44699,31865,123,2034,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,0,0.46091322767927195,0.397081437313667,0.0571473403420681,0.0,0.0,0.0,0.08485799466499294,0.0,0.0,0.0,0.0,0.0,0.0,0.06383179036560493,0.4828490631017139,0.43135681157329053,0.0,0.0,0.0,0.0,0.08579412532499636,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.05149225152842335
2,S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,2019-12-13 03:13:00,Kirsty,Blackman,Female,SNP hold,SNP,Con,62489,37413,72,12670,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,0,0.20140058268516292,0.13201293667976371,0.07606981530484057,0.026942506615347608,0.023521235934033626,0.5400529227808516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3386523400956887,0.22687967993271382,0.1737142701989631,0.0,0.027348087551137042,0.023875314528770387,0.5481826477884156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNP,FALSE,0.3213029678557018
3,S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,2019-12-13 03:34:00,Stephen,Flynn,Male,SNP gain from Con,SNP,Con,65719,45638,131,3990,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,0,0.3593058416232087,0.08400893991848898,0.10995223278846575,0.0,0.0,0.44673298566983655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08742714404662782,0.39994092263113223,0.14346956872866015,0.0,0.0,0.0,0.45658950864020464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNP,FALSE,0.05664858600907241
4,S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,2019-12-13 02:59:00,Neil,Gray,Male,SNP hold,SNP,Lab,64011,39772,91,5201,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,0,0.17627979483053405,0.3200241375842301,0.035678366690133766,0.0,0.017223172080860907,0.4507945288142412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307703912300111,0.18827497775022886,0.34049469850853986,0.0,0.0,0.017341397430038957,0.4538889263111929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNP,FALSE,0.11339422780265301
5,E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,2019-12-13 02:26:00,Leo,Docherty,Male,Con hold,CON,Lab,72617,47932,251,16698,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,0,0.5837436368188267,0.23537511474589,0.14437119252274055,0.0,0.03651005591254277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34836852207293667,0.6443546504032343,0.3180482941764038,0.0,0.0,0.03759705542036139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.32630635622683046
6,E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,2019-12-13 02:51:00,Wendy,Morton,Female,Con hold,CON,Lab,60138,39342,152,19836,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,0,0.7078948706217274,0.20370087946723603,0.060266381983630726,0.0,0.01959737684916883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008540491078237,0.5041939911544914,0.7340493381972717,0.23748057097838424,0.0,0.0,0.019828762444055716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00864132838028886,CON,FALSE,0.49656876721888743
7,E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,2019-12-13 04:35:00,Graham,Brady,Male,Con hold,CON,Lab,73107,54763,173,6139,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,0,0.48045213008783305,0.3683508938516882,0.11022040428756642,0.0,0.028595949820134033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012380621952778335,0.11210123623614487,0.5244700742940164,0.4336288240183913,0.0,0.0,0.029241143156316055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012659958531278645,CON,FALSE,0.09084125027562506
8,W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,2019-12-13 04:30:00,Mark,Tami,Male,Lab hold,LAB,Con,62789,43008,121,213,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,0,0.41987537202380953,0.42482793898809523,0.059244791666666664,0.062267485119047616,0.0,0.0,0.03378441220238095,0.0,0.0,0.0,0.0,0.0,0.0,0.004952566964285698,0.4423922579341188,0.46045168553579363,0.0,0.06298327750849105,0.0,0.0,0.03417277902159716,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.018059427601674838
9,E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,2019-12-13 03:15:00,Nigel,Mills,Male,Con hold,CON,Lab,69976,45567,151,16886,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,0,0.6385322711611473,0.26795707419843307,0.0630500142647091,0.0,0.03046064037571049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37057519696271424,0.6652251553802901,0.30393944371909776,0.0,0.0,0.03083540090061638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.3612857116611924
